Strategy,Region,Fund_Name,ASX_Code,Mgmt_Fee,Benchmark,Details
Cash_Bonds_Currencies,Global,Global X USD Corporate Bond ETF (Currency Hedged),USIG.AX,0.30%,n/a,"Global X USD Corporate Bond ETF (Currency Hedged) (USIG) provides exposure to investment grade, USD denominated corporate bonds to offer investors a tool to generate yield from a fixed income asset class."
Cash_Bonds_Currencies,Global,Hejaz Sukuk Active ETF (Managed Fund),SKUK.AX,1.33%,Bloomberg Global Aggregate USD Sukuk Index,A sukuk is a shariah-compliant bond-like instruments used in Islamic finance. Achieve a return at least equal to movements in the Benchmark over a rolling 5 to 7-year timeframe through exposure to a diversified equities portfolio of Shariah Compliant investments.
Cash_Bonds_Currencies,Global,iShares Core Global Corporate Bond (AUD Hedged),IHCB.AX,0.26%,Barclays Global Aggregate Corporate Bond,Provides a broad-based measure of the Australian dollar hedged performance of the global investment grade corporate fixed-rate debt market.
Cash_Bonds_Currencies,Global,iShares Global Aggregate Bond ESG (AUD Hedged) ETF,AESG.AX,0.19%,Bloomberg MSCI Global Aggregate Sustainable Green Bond SRI AUD Hedged Index,"The index is designed to measure the AUD hedged performance of global investment grade ESG (environmental, social and governance) screened bonds."
Cash_Bonds_Currencies,Global,iShares Global High Yield Bond (AUD Hedged),IHHY.AX,0.56%,Markit iBoxx Global Developed Markets Liquid High Yield Capped,"Aims to track the Australian dollar hedged performance of fixed rate, high yield corporate bonds across global developed markets."
Cash_Bonds_Currencies,Global,Janus Henderson Sustainable Credit Active ETF (Managed Fund),GOOD.AX,0.50%,Bloomberg AusBond Composite 0-5 Yr Index,"Provides access to an actively managed, diversified portfolio of Australian and global investment grade and sub-investment grade credit securities that are issued by entities with robust sustainable practices and are considered by the Manager to currently, or in the future, contribute positively towards ‘People’ and/or ‘Planet’ themes. Seeks to achieve a total return before fees that exceeds the total return of the Benchmark by 0.75% p.a. over rolling three year periods."
Cash_Bonds_Currencies,Global,Macquarie Dynamic Bond Active ETF (Managed Fund),MQDB.AX,0.61%,Bloomberg Global Aggregate Index,Aims to generate attractive returns by dynamically investing in global fixed income instruments.
Cash_Bonds_Currencies,Global,VanEck Bentham Global Capital Securities Active ETF,GCAP.AX,0.59%,RBA Cash Rate + 3% per annum,Offers an opportunity for investors to diversify their income away from Australian exposures by harnessing a deep and sizeable global universe including AT1 and Contingent Convertibles (CoCos) bonds.
Cash_Bonds_Currencies,Global,Vanguard Ethically Conscious Global Aggregate Bond Index (Hedged),VEFI.AX,0.26%,Bloomberg Barclays Global Aggregate Float Adjusted Bond (Hedged),"Exposure to high-quality, income-generating securities issued by government-guaranteed entities, investment-grade corporate issues and securitised assets from around the world."
Cash_Bonds_Currencies,Global,Vanguard Global Aggregate Bond Index (Hedged),VBND.AX,0.20%,Bloomberg Barclays Global Aggregate Float Adjusted Bond (AUD Adj),"Exposure to high-quality, income-generating securities issued by government-guaranteed entities, investment-grade corporate issues and securitised assets from around the world."
Yield,Global,Betashares Global Income Leaders,INCM.AX,0.45%,NASDAQ Global Income Leaders NTR,Exposure to a diversified portfolio of 100 global companies (ex-Australia) which are selected for their potential to generate attractive and persistent income.
Yield,Global,Hejaz High Income Active ETF,HJHI.AX,1.10%,DJI Islamic Market Global Select Dividend Index,To achieve a return at least equal to movements in the Benchmark over a rolling 5 to 7-year timeframe through exposure to a diversified portfolio of Shariah Compliant listed companies with a proven history of significant dividends and a market capitalisation exceeding $2 billion.
Yield,Global,SPDR® S&P® Global Dividend Fund,WDIV.AX,0.50%,S&P Global Dividend Aristocrats,Exposure to high dividend-yield companies that have exhibited increasing or stable dividends for at least ten consecutive years.
Emerging_Markets,Global,BetaShares Legg Mason Emerging Markets Fund (MF),EMMG.AX,1.00%,N/A,Actively managed portfolio of carefully selected companies in the world’s fastest-growing economies.
Emerging_Markets,Global,Fidelity Global Emerging Markets Fund,FEMX.AX,0.99%,N/A,Invests in a 30 to 50 company portfolio in emerging markets. The fund favours companies that have a track record of robust corporate governance.
Emerging_Markets,Global,iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged),IHEB.AX,0.51%,J.P. Morgan EMBI Global Core Index (AUD Hedged),Tracks the Australian dollar hedged performance of US dollar denominated fixed and/or floating rate emerging market bonds issued by sovereign and quasi-sovereign entities.
Emerging_Markets,Global,iShares MSCI Emerging Markets,IEM.AX,0.68%,MSCI Emerging Markets Index,Composed of large and mid-capitalisation emerging market equities.
Emerging_Markets,Global,iShares MSCI Emerging Markets ex China ETF,EMXC.AX,0.25%,MSCI Emerging Markets ex China Index,"Tracks the investment results of an index composed of large- and mid-capitalization emerging market equities, excluding China."
Emerging_Markets,Global,SPDR® S&P® Emerging Markets Fund,WEMG.AX,0.65%,S&P Emerging Markets LargeMidCaps,Consists of large and mid-capitalisation equities in emerging markets.
Emerging_Markets,Global,VanEck Emerging Income Opportunities Active (MF),EBND.AX,0.95%,N/A,Globally diversified portfolio of bonds and currencies in emerging markets.
Emerging_Markets,Global,VanEck Vectors MSCI Multifactor Emerging Markets Equity,EMKT.AX,0.69%,MSCI Emerging Markets,"Includes large and mid-cap stocks with an aim to maximise exposure to four factors - Value, Momentum, Low Size and Quality."
Emerging_Markets,Global,Vanguard FTSE Emerging Markets Shares,VGE.AX,0.48%,FTSE Emerging Markets All Cap China A Inclusion,Exposure to companies listed on emerging markets (with net dividends reinvested).
Narrow,Ex_Australia,Claremont Global Fund,CGUN.AX,1.25%,MSCI AC World Accum Index ex-Aust,"A concentrated portfolio of 10 to 15 companies with durable competitive advantages, resilient earnings, financial strength and seasoned management teams."
Narrow,Ex_Australia,Claremont Global Fund (hedged),CGHE.AX,1.25%,MSCI AC World Accum Index ex-Aust,"A concentrated portfolio of 10 to 15 companies with durable competitive advantages, resilient earnings, financial strength and seasoned management teams, Australian dollar hedged."
Broad,Ex_Australia,Dimensional Global Core Equity Trust (AUD Hedged),DFGH.AX,0.36%,MSCI World ex Australia Index (net div.),Provide long-term capital growth by gaining exposure to a diversified portfolio of securities associated with approved developed markets (excluding Australia).
Broad,Ex_Australia,Dimensional Global Core Equity Trust (Unhedged),DGCE.AX,0.36%,MSCI World ex Australia Index (net div.),Provide long-term capital growth by gaining exposure to a diversified portfolio of securities associated with approved developed markets (excluding Australia).
Broad,Ex_Australia,Morningstar International Shares Active ETF (Managed Fund),MSTR.AX,0.39%,MSCI All Country World ex-Australia Index with Net Dividends Reinvested,"To achieve meaningful capital growth over the medium-to-long term, while minimising the risk of permanent capital loss, by providing exposure to listed international shares."
Broad,Ex_Australia,Munro Concentrated Global Growth Fund (Managed Fund),MCGG.AX,0.70%,MSCI World (Ex-Australia) Index,"To maximise long term capital appreciation primarily through exposure to a concentrated portfolio of growth-oriented equities issued by companies located anywhere in the world, except Australia."
Broad,Ex_Australia,SPDR® S&P® World ex-Australia Fund,WXOZ.AX,0.30%,S&P Developed ex-Australia LargeMidCap AUD,Covers large and mid-capitalisation securities from 25 developed markets (ex-Australia).
Broad,Ex_Australia,SPDR® S&P® World ex-Australia (Hedged) Fund,WXHG.AX,0.35%,S&P Developed ex-Australia LargeMidCap (Hedged AUD),Exposure to companies in 25 developed markets (ex-Australia) with foreign currency exposures hedged to reduce the impact of fluctuations.
Broad,Ex_Australia,VanEck Vectors MSCI World ex-Australia Quality,QUAL.AX,0.40%,MSCI World ex-Australia Quality,A diversified portfolio of quality international companies listed on exchanges in developed markets around the world (ex-Australia).
Broad,Ex_Australia,VanEck Vectors MSCI World ex-Australia Quality Hedged,QHAL.AX,0.43%,MSCI World ex-Australia Quality,A diversified portfolio of quality international companies listed on exchanges in developed markets around the world (ex-Australia) hedged to AUD.
Broad,Ex_Australia,Vanguard MSCI Index International Shares,VGS.AX,0.18%,MSCI World ex-Australia,Exposure to many of the world’s largest companies (ex-Australia) with net dividends reinvested.
Broad,Ex_Australia,Vanguard MSCI Index International Shares (Hedged),VGAD.AX,0.21%,MSCI World ex-Australia (Hedged AUD),"Exposure to many of the world’s largest companies (ex-Australia) with net dividends reinvested, hedged into Australian dollars to reduce fluctuations."
Fixed_Interest,Global,U.S. Treasury Bond 7-10 Year Currency Hedged ETF,US10.AX,0.22%,Bloomberg U.S. Treasury: 7-10 Year Total Return Index Hedged AUD,"US10 aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of fixed rate 7-10 year US Treasury bonds, hedged into AUD."
Fixed_Interest,Global,Vanguard International Credit Securities Index (Hedged),VCF.AX,0.30%,Bloomberg Barclays Global Aggregate Government-related and Corporate,"Exposure to high-quality, income-generating securities issued by government-owned or guaranteed entities and investment-grade corporate issuers from around the world."
Fixed_Interest,Global,Vanguard International Fixed Interest Index (Hedged),VIF.AX,0.20%,Bloomberg Barclays Global Treasury Index (AUD Hedged),"Exposure to high-quality, income-generating securities issued by governments from around the world, hedged to Australian dollars to reduce fluctuations."
Broad,Ex_US_and_Canada,Vanguard All-World ex-US Shares Index ETF,VEU.AX,0.08%,FTSE All World Ex-US,Exposure to many of the world’s largest companies in major developed and emerging countries (excluding US).
Energy,Commodities,BetaShares Crude Oil Index ETF - Currency Hedged (Synthetic),OOO.AX,0.69%,S&P GSCI Crude Oil,"Tracks the performance of the Crude Oil, with a currency hedge against movements in the AUD/USD exchange rate."
Broad,Commodities,BetaShares Energy Transition Metals ETF,XMET.AX,0.69%,Nasdaq Sprott Energy Transition Materials Select Index,"Provides exposure to a portfolio of global companies in the Energy Transition Metals (‘ETMs’) industry. ETMs are raw materials that are essential to the transition to a less carbon-intensive economy. XMET provides exposure to global producers of copper, lithium, nickel, cobalt, graphite, manganese, silver and rare earth elements."
Broad,Commodities,Bloomberg Commodity ETF (Synthetic),BCOM.AX,0.60%,Bloomberg Commodity Index Excess Return 3 Month Forward,"Invests in a highly liquid, broad-based basket of commodities, including energy, grains, precious metals, industrial metals, softs and livestock."
Broad,Commodities,ETFS Physical PM Basket,ETPMPM.AX,0.44%,N/A,"Access to the spot price of four precious commodities (gold, silver, platinum and pallidum)."
Agriculture,Commodities,BetaShares Global Agriculture Companies ETF - Currency Hedged,FOOD.AX,0.57%,Nasdaq Global ex-Australia Agriculture Companies Hedged,"Exposure to the performance of the largest global agriculture companies by market capitalisation (excluding companies listed in Australia), hedged into Australian dollars."
Gold,Commodities,BetaShares Gold Bullion ETF - Currency Hedged,QAU.AX,0.59%,Physical Gold,"Tracks the performance of the price of gold bullion, with a currency hedge against movements in the AUD/USD exchange rate."
Gold,Commodities,ETFS Physical Gold,GOLD.AX,0.40%,Physical Gold,Provides a return equivalent to the movements in the gold spot price.
Gold,Commodities,Global Gold Miners ETF - Currency Hedged,MNRS.AX,0.49%,Nasdaq Global ex-Australia Gold Miners Hedged,"Exposure to the largest global gold mining companies by market capitalisation (excluding companies listed in Australia), hedged into Australian dollars."
Gold,Commodities,Global X Gold Bullion ETF,GXLD.AX,0.15%,Solactive Gold Spot London Close Index,Seeks to provide a return that tracks the performance of the price of gold bullion in Australian dollars by reference to the Gold Spot Price which is denominated in US Dollars and converted to Australian dollars.
Gold,Commodities,iShares Physical Gold ETF,GLDN.AX,0.18%,LMBA Gold Price PM AUD Index,"Aims to provide investors with the performance of the spot price of gold, before fees and expenses."
Gold,Commodities,Perth Mint Gold,PMGOLD.AX,0.15%,Physical Gold,A structured fully paid call option to one hundredth of a troy ounce of physical gold and may be exercised by you at any time.
Gold,Commodities,VanEck Gold Bullion ETF,NUGG.AX,0.39%,Australian Sourced Gold,NUGG gives investors an investment in Australian sourced gold.
Gold,Commodities,VanEck Vectors Gold Miners,GDX.AX,0.53%,NYSE Arca Gold Miners,"Provides exposure to large, mid and small-capitalisation exchange listed companies worldwide involved primarily in gold mining."
Palladium,Commodities,ETFS Physical Palladium,ETPMPD.AX,0.49%,Physical Palladium,Tracks the performance of the price of palladium spot price.
Platinum,Commodities,ETFS Physical Platinum,ETPMPT.AX,0.49%,Physical Platinum,Tracks the performance of the price of platinum spot price.
Silver,Commodities,ETFS Physical Silver,ETPMAG.AX,0.49%,Physical Silver,Provides a return equivalent to the movements in the silver spot price.
Broad,United States,BetaShares Geared U.S. Equity Fund - Currency Hedged,GGUS.AX,0.80%,N/A,"Geared exposure to the returns of the US share market, hedged to Australian dollars."
Broad,United States,Global X US Infrastructure Development ETF,PAVE.AX,0.47%,Indxx U.S. Infrastructure Development Index,"Aims to capture a resurging focus on infrastructure in the world’s largest economy. It does so by investing in US-domiciled companies involved in the construction, engineering, material procurement, transportation, and equipment distribution processes of infrastructure projects."
Broad,United States,VanEck Morningstar Wide Moat (AUD Hedged) ETF,MHOT.AX,0.52%,Morningstar Wide Moat Focus AUD Hedged Index,A diversified portfolio of attractively priced US companies with sustainable competitive advantages according to Morningstar’s equity research team. Aims to provide investment returns before fees and other costs which track the performance of the Index with returns hedged into Australian dollars.
Broad,United States,VanEck Vectors Morningstar Wide Moat,MOAT.AX,0.49%,Morningstar® Wide Moat Focus,Tracks the price and yield performance the 20 most attractively priced companies with sustainable competitive advantages according to Morningstar's equity research team.
Broad,United States,Vanguard U.S. Total Market Shares Index,VTS.AX,0.03%,CRSP US Total Market,Exposure to a broadly diversified collection of securities and largest companies listed in the United States.
Yield,United States,BetaShares Inflation-Protected U.S. Treasury Bond Currency Hedged ETF,UTIP.AX,0.22%,Bloomberg Global Inflation-Linked: U.S. TIPS Total Return Index Hedged AUD,"UTIP aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of US Treasury Inflation-Protected Securities (‘TIPS’), hedged into AUD. TIPS are a type of government bond issued by the US Treasury, whose face value and interest payments are adjusted for inflation, as measured by US CPI."
Yield,United States,BetaShares Nasdaq 100 Yield Maximiser Fund (Managed Fund),QMAX.AX,0.68%,n/a,"QMAX aims to provide regular income along with exposure to a portfolio of the top 100 companies listed on the Nasdaq stock market. In addition, the Fund aims to provide lower overall volatility than the underlying Nasdaq-100 Index. QMAX does not aim to track an index."
Yield,United States,BetaShares S&P 500 Yield Maximiser Fund,UMAX.AX,0.79%,S&P 500,Tracks the S&P 500 Index while providing regular income that exceeds the dividend yield of the stocks alone.
Yield,United States,ISHARES U.S. TREASURY BOND (AUD HEDGED) ETF,IUSG.AX,0.15%,ICE U.S. Treasury Core Bond AUD Hedged Index,"The Fund aims to provide investors with the performance of the ICE U.S. Treasury Core Bond AUD Hedged Index, before fees and expenses (including the cost of hedging). The index is designed to measure the AUD hedged performance of the U.S. Treasury bond market."
Yield,United States,VanEck 1-3 Month US Treasury Bond ETF,TBIL.AX,0.22%,Bloomberg U.S. Treasury Bills: 1-3 Months Unhedged AUD Index,TBIL invests in a portfolio of US dollar denominated Treasury Bills issued by the US Government with a maturity ranging from 1-3 months with the aim of providing investment returns (before fees and costs) that closely track the returns of the Index.
NASDAQ,United States,BetaShares NASDAQ 100,NDQ.AX,0.48%,NASDAQ-100,"Aims to track the performance of the NASDAQ-100 Index, before fees and expenses."
NASDAQ,United States,BetaShares NASDAQ 100 ETF (Currency Hedged),HNDQ.AX,0.51%,NASDAQ-100,"Aims to track the performance of the NASDAQ-100 Currency Hedged AUD Index, before fees and expenses."
NASDAQ,United States,ETFs Ultra Long Nasdaq 100,LNAS.AX,1.00%,NASDAQ-100,Geared returns that are positively related to the returns of the Nasdaq-100 index.
NASDAQ,United States,Global X US 100 ETF,N100.AX,0.24%,Global X US 100 Index,"The Global X US 100 ETF, often referred to as N100, seeks to invest in 100 of the largest non-financial companies listed on the US market. It focuses on innovation-driven companies, providing a growth tilt to core portfolio holdings. With a diverse range of companies spanning technology, consumer goods, healthcare, and more, investors gain access to Alphabet, Apple, Microsoft, and Tesla, as well as a range of healthcare giants and digital juggernauts whose products or services play a vital role in everyday life."
NASDAQ,United States,JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund),JPEQ.AX,0.40%,Nasdaq-100 Index,"Aims to generate income through a combination of selling options and investing in U.S. large cap growth stocks, seeking to deliver a monthly income stream from associated option premiums and stock dividends."
NASDAQ,United States,JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund) (Hedged),JPHQ.AX,0.40%,Nasdaq-100 Index,"Aims to generate income through a combination of selling options and investing in U.S. large cap growth stocks, seeking to deliver a monthly income stream from associated option premiums and stock dividends."
SP_500,United States,BetaShares S&P 500 Equal Weight ETF,QUS.AX,0.29%,S&P 500,"Provides exposure to 500 leading listed U.S. companies, with each holding in the index weighted equally."
SP_500,United States,ETFS S&P 500 High Yield Low Volatility,ZYUS.AX,0.35%,S&P 500 Low Volatility High Dividend Index,Aims to provide a higher yield and lower volatility than the S&P 500.
SP_500,United States,iShares Core S&P 500,IVV.AX,0.04%,S&P 500,The fund seeks to track the investment results of an index composed of large-capitalisation US equities.
SP_500,United States,iShares S&P 500 AUD Hedged,IHVV.AX,0.10%,S&P 500,The fund aims to provide investors with the performance of the US market (hedged to Australian dollars).
SP_500,United States,JP Morgan Equity Premium Income Active ETF (Managed Fund),JEPI.AX,0.40%,Standard & Poor's 500 Total Return Index,The Fund is to seek current income while maintaining prospects for capital appreciation. The Fund seeks to provide the majority of the returns associated with the S&P 500 Index while exposing investors to less risk through lower volatility and still offering incremental income.
SP_500,United States,JPMorgan Equity Premium Income Active ETF (Managed Fund) (Hedged),JHPI.AX,0.40%,Standard & Poor's 500 Index,The investment objective of the Fund is to seek current income while maintaining prospects for capital appreciation.
SP_500,United States,S&P 500 Covered Call ETF,UYLD.AX,0.60%,Cboe S&P 500 BuyWrite Index,"The Global X S&P 500 Covered Call ETF (UYLD) follows a “covered call” or “buy-write” strategy, in which the fund buys the stocks in the S&P 500 Index and “writes” or “sells” corresponding call options on the same index to generate income."
SP_500,United States,SPDR® S&P 500® ETF Trust,SPY.AX,0.09%,S&P 500,"Provides investment results that, before expenses, correspond generally to the price and yield performance of the S&P 500® Index."
Bear_Market,United States,BetaShares U.S. Equities Strong Bear Fund,BBUS.AX,1.38%,Negative correlation to S&P 500,"Profit from a declining US share market, hedged to Australian dollars, by generating returns negatively correlated to the S&P 500 index."
Bear_Market,United States,ETFs Ultra Short Nasdaq 100,SNAS.AX,1.00%,Negative correlation to NASDAQ 100,Geared returns that are negatively related to the returns of the Nasdaq-100 Index.
Mid_Cap,United States,iShares Core S&P Mid-Cap,IJH.AX,0.07%,S&P Mid-Cap 400,Seeks to track the investment results of an index composed of mid-capitalisation US equities.
Small_Cap,United States,iShares Core S&P Small-Cap,IJR.AX,0.07%,S&P Small-Cap 600,Seeks to track the investment results of an index composed of 600 small-capitalisation US equities.
Broad,Europe,BetaShares WisdomTree Europe (Currency Hedged),HEUR.AX,0.56%,WisdomTree Europe Hedged Equity,Provides exposure to the European equity market.
Broad,Europe,ETFS EURO STOXX 50,ESTX.AX,0.35%,EURO STOXX 50,Tracks the performance of the EURO STOXX 50® Index.
Broad,Europe,FTSE 100 Currency Hedged ETF,H100.AX,0.48%,AUD currency hedged FTSE 100 Index (before fees and expenses),"H100 aims to track the performance of the AUD currency hedged FTSE 100 Index (before fees and expenses), which provides exposure to the largest 100 companies by market capitalisation traded on the London Stock Exchange. H100 currently obtains its investment exposure by investing in the Betashares FTSE 100 ETF (ASX: F100), with the foreign currency exposure hedged back to the Australian dollar."
Broad,Europe,iShares Europe,IEU.AX,0.59%,S&P Europe 350,"Broad exposure to large, mid and small capitalisation companies in Europe."
Broad,Europe,Vanguard FTSE Europe Shares,VEQ.AX,0.35%,FTSE Developed Europe All Cap,"Broad exposure to large, mid and small capitalisation companies in Europe."
